"1","2","3","4","5","6","7","8","9","","10","","11","","12","","13","","14","15","16","","17","","18"
"1869–70 .........","2 9,371","2 7,993","2 1,378","—","—","—","—","","—","","—","","(3)","","(3)","","(3)","1","1","","0","","—","—"
"1870–71 .........","2 12,357","2 10,484","2 1,873","—","—","—","—","","—","","—","","(3)","","(3)","","(3)","13","—","","—","","—","—"
"1871–72 .........","2 7,852","2 6,626","2 1,226","—","—","794","—","","—","","8","","(3)","","(3)","","(3)","14","—","","—","","—","—"
"1872–73 .........","2 10,807","2 9,070","2 1,737","—","—","890","—","","—","","7","","(3)","","(3)","","(3)","26","—","","—","","—","—"
"1873–74 .........","2 11,493","2 9,593","2 1,900","—","—","860","—","","—","","11","","(3)","","(3)","","(3)","13","—","","—","","—","—"
"1874–75 .........","2 11,932","2 9,905","2 2,027","—","—","661","—","","—","","6","","(3)","","(3)","","(3)","23","—","","—","","—","—"
"1875–76 .........","2 12,005","2 9,911","2 2,094","—","—","835","—","","—","","7","","(3)","","(3)","","(3)","31","—","","—","","—","—"
"1876–77 .........","2 10,145","2 8,329","2 1,816","—","—","731","—","","—","","6","","(3)","","(3)","","(3)","39","—","","—","","—","—"
"1877–78 .........","2 11,533","2 9,416","2 2,117","—","—","816","—","","—","","7","","(3)","","(3)","","(3)","32","—","","—","","—","3.4"
"1878–79 .........","2 12,081","2 9,808","2 2,273","—","—","919","—","","—","","9","","(3)","","(3)","","(3)","36","—","","—","","—","2.9"
"1879–80 .........","2 12,896","2 10,411","2 2,485","—","—","879","868","","11","","8","","(3)","","(3)","","(3)","54","51","","3","","—","5.7"
"1880–81 .........","2 14,871","2 12,035","2 2,836","—","—","922","—","","—","","8","","(3)","","(3)","","(3)","37","—","","—","","—","3.7"
"1881–82 .........","2 14,998","2 12,168","2 2,830","—","—","884","—","","—","","7","","(3)","","(3)","","(3)","46","—","","—","","—","3.7"
"1882–83 .........","2 15,116","2 12,294","2 2,822","—","—","863","—","","—","","6","","(3)","","(3)","","(3)","50","—","","—","","—","4.2"
"1883–84 .........","2 12,765","2 10,408","2 2,357","—","53","901","—","","—","","6","","(3)","","(3)","","(3)","66","—","","—","","—","3.8"
"1884–85 .........","2 14,734","2 12,043","2 2,691","—","59","1,071","—","","—","","7","","(3)","","(3)","","(3)","77","—","","—","","—","5.8"
"1885–86 .........","2 13,097","2 10,731","2 2,366","—","48","859","—","","—","","7","","(3)","","(3)","","(3)","84","—","","—","","—","2.9"
