"1","2","3","4","5","6","7","8","9","10","","11","12","13","14","15","16","17","18"
"1910–11 .........","2 37,481","2 28,547","2 8,934","2 20","2 30","2,456","1,821","635","","6","(3)","(3)","(3)","497","449","48","—","14.9"
"1911–12 .........","2 39,408","2 29,560","2 9,848","2 21","2 30","3,035","2,215","820","","8","(3)","(3)","(3)","500","436","64","—","15.9"
"1912–13 .........","2 42,396","2 31,312","2 11,084","2 23","2 30","3,025","2,021","1,004","","8","(3)","(3)","(3)","538","481","57","—","14.9"
"1913–14 .........","2 44,268","2 32,183","2 12,085","2 24","2 28","3,270","2,256","1,014","","8","(3)","(3)","(3)","559","486","73","—","15.7"
"1914–15 .........","2 43,912","2 31,417","2 12,495","2 23","2 26","3,577","2,638","939","","8","(3)","(3)","(3)","611","549","62","—","17.2"
"1915–16 .........","2 45,250","2 31,852","2 13,398","2 24","2 25","3,906","2,934","972","","9","(3)","(3)","(3)","667","586","81","—","18.1"
"1917–18 .........","2 38,585","2 26,269","2 12,316","2 22","2 18","2,900","1,806","1,094","","6","(3)","(3)","(3)","556","491","65","—","15.0"
"1919–20 .........","2 48,622","2 31,980","2 16,642","2 26","2 19","4,279","2,985","1,294","","11","(3)","(3)","(3)","615","522","93","7.7","15.6"
"1921–22 .........","2 61,668","2 41,306","2 20,362","2 33","2 22","5,984","4,304","1,680","","12","(3)","(3)","(3)","836","708","128","7.8","18.9"
"1923–24 .........","2 82,783","2 54,908","2 27,875","2 43","2 27","8,216","5,515","2,701","","13","(3)","(3)","(3)","1,098","939","159","8.4","24.3"
"1925–26 .........","2 97,263","2 62,218","2 35,045","2 49","2 27","9,735","6,202","3,533","","12","(3)","(3)","(3)","1,409","1,216","193","8.6","33.6"
"1927–28 .........","2 111,161","2 67,659","2 43,502","2 55","2 22","12,387","7,727","4,660","","13","(3)","(3)","(3)","1,447","1,249","198","8.4","29.8"
"1929–30 .........","2 122,484","2 73,615","2 48,869","2 57","2 22","14,969","8,925","6,044","","13","(3)","(3)","(3)","2,299","1,946","353","8.7","41.7"
"1931–32 .........","2 138,063","2 83,271","2 54,792","2 63","2 23","19,367","12,210","7,157","","16","(3)","(3)","(3)","2,654","2,247","407","9.1","36.7"
"1933–34 .........","2 136,156","2 82,341","2 53,815","2 61","2 20","18,293","11,516","6,777","","13","(3)","(3)","(3)","2,830","2,456","374","8.5","29.1"
"1935–36 .........","2 143,125","2 86,067","2 57,058","2 63","2 17","18,302","11,503","6,799","","13","(3)","(3)","(3)","2,770","2,370","400","9.2","26.6"
"1937–38 .........","2 164,943","2 97,678","2 67,265","2 72","2 18","21,628","13,400","8,228","","15","(3)","(3)","(3)","2,932","2,502","430","9.5","26.4"
"1939–40 .........","2 186,500","2 109,546","2 76,954","2 81","2 18","26,731","16,508","10,223","","16","(3)","(3)","(3)","3,290","2,861","429","9.4","25.3"
